antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.07,0.1512,0.0152,0.2171428571428571,1.4361300075585788,1.0,0.004615999999999999,1.0842335766423357,0.32654216185625345,0.07378640776699029,0.07768951124276285,0.15883597883597883
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.0838,0.1244,0.0176,0.2100238663484487,1.6882947455663078,1.0,0.007175280000000001,1.108387915407855,0.44497529320712037,0.09233997901364115,0.09778879208365543,0.17575148301345264
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.0666,0.0838,0.0136,0.20420420420420418,2.436804346112222,1.0,0.008018919999999999,1.1513003773584904,0.6316975258069801,0.09941520467836257,0.13141694412159374,0.1832476868276391
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.07,0.1244,0.014,0.19999999999999998,1.607717041800643,1.0,0.005292,1.0945,0.40645161290322585,0.07760532150776053,0.08634079488350843,0.1562700964630225
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.1244,0.0666,0.0216,0.17363344051446947,2.6071087164334754,1.0,0.01331496,1.1295229571984438,0.7040124866758032,0.12750885478158205,0.11467049551582328,0.24897888241939686
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Strawberries'}),0.07,0.0838,0.012,0.1714285714285714,2.045687009887487,1.0,0.006134,1.105758620689655,0.5496415770609319,0.08462623413258111,0.09564349642935102,0.15731333106034776
frozenset({'Organic Strawberries'}),frozenset({'Organic Hass Avocado'}),0.0838,0.0666,0.0136,0.16229116945107397,2.4368043461122215,1.0,0.008018919999999999,1.1142296296296297,0.6435565057719224,0.09941520467836257,0.10251893020256478,0.1832476868276391
frozenset({'Organic Strawberries'}),frozenset({'Organic Baby Spinach'}),0.0838,0.07,0.012,0.1431980906921241,2.045687009887487,1.0,0.006134,1.0854317548746517,0.5579203958378811,0.08462623413258111,0.07870762440013344,0.15731333106034776
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.1244,0.0838,0.0176,0.1414790996784566,1.6882947455663078,1.0,0.007175280000000001,1.0671842696629215,0.46560799867104113,0.09233997901364115,0.06295470386210063,0.17575148301345264
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.1512,0.0838,0.0194,0.1283068783068783,1.531108333017641,1.0,0.00672944,1.051057966616085,0.4086691217194438,0.08998144712430428,0.048577688612615494,0.1799052291295728
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Raspberries'}),0.1244,0.0448,0.0152,0.12218649517684887,2.7273771244832337,1.0,0.00962688,1.0881582417582418,0.7233295664927508,0.0987012987012987,0.08101601253857713,0.2307361047312816
frozenset({'Organic Strawberries'}),frozenset({'Organic Raspberries'}),0.0838,0.0448,0.0102,0.1217183770883055,2.7169280600068193,1.0,0.006445760000000001,1.0875782608695652,0.6897372352127928,0.08614864864864866,0.0805259391627989,0.17469847425843849
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.1244,0.07,0.014,0.11254019292604502,1.607717041800643,1.0,0.005292,1.0479347826086955,0.4317039744175422,0.07760532150776053,0.045742142931231196,0.1562700964630225
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.1512,0.055,0.0164,0.10846560846560847,1.9721019721019721,1.0,0.008084000000000001,1.0599703264094955,0.5807337762350291,0.08640674394099053,0.05657736345567035,0.20332371332371335
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.1512,0.07,0.0152,0.10052910052910052,1.4361300075585788,1.0,0.004615999999999999,1.0339411764705881,0.3577806438811448,0.07378640776699029,0.03282698981623712,0.15883597883597883
frozenset({'Banana'}),frozenset({'Strawberries'}),0.1512,0.0438,0.0142,0.09391534391534392,2.1441859341402725,1.0,0.007577440000000001,1.0553097810218979,0.6286787643865076,0.07853982300884955,0.05241094322876377,0.20905812857867656
frozenset({'Banana'}),frozenset({'Honeycrisp Apple'}),0.1512,0.0286,0.012,0.07936507936507936,2.7750027750027746,1.0,0.00767568,1.0551413793103448,0.7535815268614515,0.07151370679380215,0.05225970698484595,0.24947274947274947
frozenset({'Banana'}),frozenset({'Organic Fuji Apple'}),0.1512,0.0294,0.0108,0.07142857142857144,2.4295432458697768,1.0,0.00635472,1.0452615384615385,0.6932139491046182,0.06360424028268552,0.04330163963380532,0.21938775510204084
frozenset({'Banana'}),frozenset({'Organic Whole Milk'}),0.1512,0.0392,0.0104,0.06878306878306878,1.7546701220170609,1.0,0.00447296,1.0317681818181819,0.5067063002972522,0.05777777777777777,0.030790038283793484,0.1670445956160242
frozenset({'Banana'}),frozenset({'Cucumber Kirby'}),0.1512,0.0276,0.01,0.06613756613756613,2.396288628172686,1.0,0.00582688,1.0412668555240794,0.6864844486333648,0.05924170616113744,0.039631392572569035,0.21422820335863813
